data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2018-07-27;41845.875;5;26,2;31,1;26,8;28,4;21,0;21,1;14,8;17,4;16,8;17,4;13,7;17,2;16,0;16,7;17,1;14,7;15,3;12,6;13,7;16,4;12,8;19,8;21,1;20,4
2018-07-28;41846.875;6;24,3;30,2;23,9;24,8;26,9;25,6;21,0;14,8;19,0;18,3;17,4;16,5;14,8;16,0;18,0;14,9;18,9;15,3;18,2;18,7;17,1;15,1;24,8;20,3
2018-07-29;41847.875;0;21,5;21,1;28,1;21,1;27,1;23,0;19,5;22,0;21,1;20,9;18,4;24,2;22,5;21,1;20,4;17,6;24,2;19,1;21,5;16,0;21,2;24,3;27,9;24,5
2018-07-30;41848.875;1;23,7;29,2;27,2;25,4;26,4;25,5;18,5;12,2;11,8;17,0;14,1;18,7;14,1;15,4;17,7;13,5;13,1;13,1;15,5;15,3;20,4;22,7;22,7;24,6
2018-07-31;41849.875;2;23,4;26,3;29,5;33,0;30,9;21,1;20,1;12,3;10,9;11,1;16,2;17,3;16,8;15,8;13,9;15,0;13,8;14,7;12,8;16,9;18,4;23,0;23,4;25,2
2018-08-01;41850.875;3;26,5;35,7;31,0;33,3;25,8;19,8;16,1;14,4;12,7;16,7;15,6;16,8;16,8;13,6;18,4;15,8;14,4;14,8;16,2;17,3;16,3;18,4;18,8;24,3
2018-08-02;41851.875;4;27,1;33,0;31,5;30,8;31,0;20,7;19,6;14,1;13,5;15,1;16,8;16,4;15,6;14,8;14,9;15,3;15,0;13,8;13,9;17,0;16,7;17,5;22,0;23,3
2018-08-03;41852.875;5;27,2;28,2;32,7;32,4;30,6;21,2;12,8;13,5;14,6;15,0;14,6;14,7;16,9;15,2;14,3;15,2;14,1;12,8;13,0;13,8;18,0;18,5;18,0;22,1
2018-08-04;41853.875;6;25,2;29,9;30,7;22,9;31,5;22,3;21,9;21,5;19,1;18,9;17,7;14,7;16,1;18,2;18,9;13,3;23,1;19,0;19,7;22,2;18,8;18,4;26,8;24,2
2018-08-05;41854.875;0;26,4;24,6;30,8;29,2;29,1;24,6;23,0;21,3;20,7;23,4;20,2;23,8;18,6;17,7;20,7;17,4;22,9;18,2;15,6;13,9;14,9;24,7;21,4;26,3
2018-08-06;41855.875;1;27,2;30,7;24,2;34,6;31,6;20,1;14,7;13,4;11,9;13,6;15,4;18,6;13,5;14,8;13,7;15,5;15,2;15,9;13,5;18,0;13,5;20,5;20,2;20,8
2018-08-07;41856.875;2;28,8;24,9;40,9;27,1;32,2;18,1;17,9;10,4;17,4;17,0;16,8;14,4;17,0;14,0;18,1;14,4;15,1;13,5;16,2;14,8;16,9;16,7;20,4;26,4
2018-08-08;41857.875;3;30,6;36,5;33,0;30,7;30,7;20,1;13,8;11,2;12,2;16,2;16,3;16,1;16,6;12,3;15,9;12,5;16,9;11,6;13,2;17,3;16,4;21,6;19,0;27,3
2018-08-09;41858.875;4;23,9;31,4;28,4;34,2;24,8;22,6;14,3;10,7;14,4;12,5;12,6;16,9;17,2;15,4;15,1;15,2;13,7;15,6;16,6;17,8;18,4;21,2;20,7;24,3
2018-08-10;41859.875;5;23,6;27,8;37,5;25,7;20,0;23,9;15,7;13,1;12,6;10,4;14,8;16,1;15,9;17,8;14,4;10,7;15,3;14,1;12,0;15,0;15,7;19,1;19,7;26,3
2018-08-11;41860.875;6;24,1;30,9;25,3;29,6;36,5;22,7;18,9;21,4;21,2;16,5;16,5;18,1;15,0;14,8;18,7;16,0;18,9;14,1;16,5;19,8;19,2;18,7;22,5;25,7
2018-08-12;41861.875;0;27,7;24,0;28,6;21,6;21,6;20,7;25,9;25,3;23,8;21,1;22,3;19,0;17,1;18,4;23,4;16,9;18,2;16,4;21,2;20,3;22,9;19,9;22,3;26,6
2018-08-13;41862.875;1;21,0;22,1;27,3;36,2;37,8;23,9;16,4;14,7;14,2;17,9;16,2;20,0;16,1;15,1;17,2;12,5;15,1;12,7;14,4;14,5;23,8;18,5;19,8;21,0
2018-08-14;41863.875;2;28,9;24,8;25,9;36,2;27,0;21,6;16,6;12,4;11,7;15,7;15,3;18,8;14,9;13,0;18,3;12,2;14,2;14,9;16,9;14,3;20,1;20,9;24,1;24,9
2018-08-15;41864.875;3;22,0;38,2;21,2;32,6;33,3;19,9;17,0;10,3;11,0;16,7;17,1;17,4;17,0;14,0;16,6;15,5;15,0;12,4;13,0;17,8;16,5;16,7;18,6;24,3
2018-08-16;41865.875;4;24,0;30,6;31,7;28,7;27,2;21,2;13,0;12,1;15,1;13,5;12,6;18,3;19,0;16,9;15,8;11,9;16,0;13,4;12,9;15,5;16,8;18,1;19,2;22,4
2018-08-17;41866.875;5;30,2;20,9;40,2;28,3;25,4;18,2;15,7;10,4;12,2;15,7;15,9;17,0;15,6;16,2;19,5;12,3;15,7;16,4;14,7;15,1;19,6;16,0;18,3;23,3
2018-08-18;41867.875;6;25,8;28,9;31,0;29,3;29,4;20,6;21,0;18,6;19,5;16,7;13,3;14,6;14,4;16,0;18,1;14,7;18,8;20,4;14,7;17,5;20,9;19,8;21,4;25,9
2018-08-19;41868.875;0;25,7;28,9;28,2;29,1;35,4;20,0;25,3;23,6;27,2;17,6;16,2;20,7;13,7;18,8;19,6;15,7;23,1;18,2;17,6;19,9;16,6;16,2;25,2;23,2
2018-08-20;41869.875;1;23,2;29,0;34,3;40,6;33,7;20,9;17,7;10,2;14,8;15,8;17,1;20,3;15,4;17,3;15,4;14,1;12,3;15,1;14,2;13,2;19,0;14,1;21,9;25,9
2018-08-21;41870.875;2;31,1;38,5;28,1;38,7;30,6;20,5;17,6;14,1;15,3;12,9;10,5;15,6;17,7;14,9;15,3;15,0;13,2;13,4;14,8;13,9;14,3;18,9;19,2;18,6
2018-08-22;41871.875;3;25,5;29,0;36,8;32,1;21,8;26,2;14,7;13,0;15,4;14,2;6,5;;16,8;14,8;15,4;11,9;;;;;;18,9;19,0;22,8
2018-08-23;41872.875;4;21,4;26,8;33,1;32,2;30,5;23,5;15,2;10,6;15,2;14,4;14,0;16,1;19,2;13,0;16,6;12,2;16,4;16,7;12,7;13,5;15,9;23,9;16,4;27,4
2018-08-24;41873.875;5;26,0;31,3;24,8;27,7;21,2;21,5;16,9;15,1;10,1;11,3;14,6;15,9;17,0;19,0;16,5;16,6;14,3;12,6;13,0;13,9;15,4;15,4;19,6;23,4
2018-08-25;41874.875;6;24,3;31,4;21,7;20,1;32,8;19,8;18,2;17,9;17,7;15,6;13,3;10,1;15,3;15,8;14,5;15,0;18,4;18,2;17,4;22,1;15,0;24,1;23,1;26,2
2018-08-26;41875.875;0;21,9;32,1;20,9;19,8;23,7;22,5;21,2;22,2;21,8;19,9;19,2;27,8;20,1;23,2;18,1;13,9;19,1;16,1;18,3;17,8;20,7;19,8;27,5;19,5
2018-08-27;41876.875;1;22,4;27,0;24,3;37,7;33,1;20,9;17,1;10,8;13,2;16,8;17,8;15,0;18,0;15,1;19,2;11,9;15,9;15,3;13,3;16,8;17,3;20,5;19,6;25,2
2018-08-28;41877.875;2;23,4;37,2;28,4;32,5;25,3;20,9;13,9;13,0;12,4;15,0;14,4;18,9;14,1;12,4;16,0;11,0;14,1;13,9;16,7;15,9;19,0;19,0;17,4;23,4
2018-08-29;41878.875;3;29,5;31,5;28,9;23,7;22,6;22,3;18,4;10,3;13,9;17,0;13,9;17,8;15,3;15,7;17,1;14,4;13,8;15,3;16,3;14,0;19,2;22,9;20,4;23,6
2018-08-30;41879.875;4;26,1;22,7;23,3;27,7;35,2;22,8;20,8;10,9;14,2;12,0;15,7;15,0;15,4;13,4;14,1;12,4;14,3;12,7;13,0;13,1;18,1;16,5;20,8;26,6
2018-08-31;41880.875;5;29,2;35,8;25,8;29,2;25,6;19,8;14,7;10,0;14,1;13,8;12,9;13,3;14,2;13,7;15,2;14,1;13,5;17,1;14,8;17,0;19,4;16,8;23,4;21,9
2018-09-01;41881.875;6;26,3;28,1;21,5;28,9;37,0;20,6;22,4;22,0;18,3;17,0;13,0;16,0;17,3;11,5;13,1;14,3;17,5;13,2;11,1;16,4;17,5;18,8;20,8;23,0
2018-09-02;41882.875;0;29,8;21,4;39,3;24,1;27,2;20,7;27,8;23,1;25,8;24,1;21,0;18,1;21,1;18,9;18,3;22,8;18,7;18,6;20,7;18,0;19,7;24,0;23,2;23,4
2018-09-03;41883.875;1;30,2;29,4;36,6;33,8;24,8;23,1;18,1;13,7;12,7;18,3;16,5;20,2;17,1;18,0;16,8;18,4;18,2;15,2;16,5;17,2;15,5;18,6;21,6;22,7
2018-09-04;41884.875;2;30,5;32,9;31,8;28,7;18,8;21,5;16,2;9,8;19,4;13,3;16,7;15,6;16,3;11,7;14,4;18,8;13,1;10,2;15,8;15,5;16,1;19,7;19,1;26,4
2018-09-05;41885.875;3;23,1;34,5;25,8;32,2;22,2;23,4;18,7;10,8;15,1;13,2;14,7;18,5;16,6;11,7;15,9;10,4;11,2;14,8;12,3;17,6;15,8;20,2;20,8;21,2
2018-09-06;41886.875;4;27,8;36,4;27,5;32,3;28,2;24,4;13,2;11,5;15,1;17,4;17,2;17,6;15,1;13,0;12,0;12,8;19,0;13,2;14,4;11,0;18,1;16,1;21,0;25,8
2018-09-07;41887.875;5;25,8;28,0;;;;;;;;;;;;;;;;;;;;;;
2018-09-08;41888.875;6;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-09;41889.875;0;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-10;41890.875;1;;;;;;;;;;;;19,0;16,9;15,8;18,0;14,4;13,4;14,4;14,4;14,9;15,3;19,7;21,0;20,1
2018-09-11;41891.875;2;26,2;27,8;29,5;20,0;33,4;24,3;15,9;12,0;13,4;15,7;15,7;14,6;18,7;16,9;15,9;10,1;12,0;16,6;12,9;14,5;17,6;19,0;19,5;25,1
2018-09-12;41892.875;3;24,0;18,5;29,2;20,6;34,4;20,0;12,9;15,0;14,7;12,3;12,4;15,4;15,5;17,2;18,8;19,4;12,0;14,6;13,4;14,8;17,1;18,2;23,0;21,6
2018-09-13;41893.875;4;25,9;21,4;26,4;27,0;33,9;20,6;13,6;10,4;11,6;12,8;15,4;15,4;16,4;15,6;12,3;14,4;12,5;13,9;12,3;14,8;17,3;21,0;16,8;25,0
2018-09-14;41894.875;5;24,0;32,3;25,0;26,9;31,0;20,1;11,9;7,3;11,4;10,7;12,1;17,8;16,8;12,4;12,4;13,0;16,0;13,4;14,1;14,7;15,2;18,0;20,8;23,5
2018-09-15;41895.875;6;20,8;26,5;37,4;;27,0;23,1;21,4;17,1;15,1;17,2;15,8;15,3;12,3;15,6;16,8;11,6;;;;;;;;
2018-09-16;41896.875;0;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-17;41897.875;1;;;;;;;;;;;;;;;;14,6;14,1;14,4;;;;;;
2018-09-18;41898.875;2;;;;;;;;;;;;;;;;;;;24,7;;;;;
2018-09-19;41899.875;3;;;;;;;;;;;;;;;;;;;16,5;15,9;17,9;22,5;;
2018-09-20;41900.875;4;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-21;41901.875;5;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-22;41902.875;6;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-23;41903.875;0;;;;;;;;;;;;;;;;;;;;;;;;
2018-09-24;41904.875;1;;;29,8;19,2;29,7;21,4;13,5;12,4;11,6;16,4;16,4;19,3;20,7;15,1;19,2;13,7;15,2;15,2;13,8;16,6;18,3;19,5;21,9;19,9
2018-09-25;41905.875;2;25,6;23,8;30,8;24,8;26,8;20,3;13,8;15,0;13,1;17,9;17,1;16,9;14,8;15,9;15,7;14,4;16,4;14,6;13,1;15,1;17,9;19,4;22,5;21,5
2018-09-26;41906.875;3;24,7;31,6;37,9;22,0;32,9;24,5;16,3;14,4;12,1;14,6;17,4;19,2;18,8;16,2;17,8;17,7;13,7;14,3;11,1;15,6;19,3;20,0;21,0;23,1
2018-09-27;41907.875;4;25,5;;;;;;;;;;;;13,7;18,2;18,1;12,6;11,6;17,6;14,2;19,4;19,5;20,0;19,1;21,9
2018-09-28;41908.875;5;26,3;28,2;23,8;21,1;35,6;19,1;15,9;15,1;19,3;23,4;20,8;24,1;15,2;12,7;11,0;14,3;15,4;13,8;14,4;14,2;17,2;16,4;19,7;21,3
2018-09-29;41909.875;6;21,9;25,9;21,7;;32,0;29,2;18,8;19,0;21,9;11,5;14,8;14,0;19,2;17,1;16,5;19,1;;;;;;;;
2018-09-30;41910.875;0;;;28,1;19,3;25,6;23,1;20,0;22,9;25,3;19,5;18,4;19,4;17,8;16,4;;;;;;;;;;
2018-10-01;41911.875;1;;31,9;34,2;28,0;28,4;23,5;17,6;9,2;14,8;12,8;15,0;19,0;17,6;17,9;16,6;12,9;14,2;15,2;14,2;14,9;14,9;17,6;26,3;29,0
2018-10-02;41912.875;2;28,1;25,4;32,8;29,9;29,8;23,9;15,6;10,4;13,1;20,0;16,8;12,4;16,1;20,4;15,0;14,7;14,9;13,9;15,1;14,3;18,7;19,2;19,5;22,5
2018-10-03;41913.875;3;28,3;29,8;20,4;34,1;26,3;23,5;16,0;14,0;12,4;16,3;14,8;16,5;19,2;14,5;20,1;13,0;14,2;13,6;13,8;15,6;25,3;18,0;20,4;24,2
2018-10-04;41914.875;4;26,9;29,1;29,9;20,1;28,8;24,3;17,1;10,5;15,6;17,5;12,3;18,0;16,5;11,8;15,5;16,9;12,2;14,1;14,0;16,0;20,3;16,9;18,7;23,5
