x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35
16574.13851 47 31 35 42 25 35 31 28 36 44 15 31 38 21 22 24 32 42 23 24 26 21 20 12 3 32 20 61 55 30 34 10 50 6 97 1184 48.39245277 47.72176703 55.92023456 25.02718836 25.57069841 28.51513401 23.21148205 26.74767477 69.51966165 10.0649405 30.11255355 38.7970122 32.34303268 27.10056715 29.58687809 25.82110253 48.96202132 58.88970837 36.83065418 20.7912446 15.20996327 20.17542114 15.9661507 4.949265299 35.49596518 20.89301557 24.94387433 54.08145518 33.52211877 31.30424833 13.00100761 54.939787 6.451006676 201.7182367 1106.616761
18914.40168 57 40 44 49 28 39 37 38 47 55 16 34 44 24 29 28 34 47 25 27 33 26 23 13 3 37 22 65 51 31 35 10 56 7 100 1362 53.8436786 59.74808356 78.7843148 25.81744508 76.46044514 74.5670914 82.09248309 36.59449636 97.87757022 4.740558425 21.07014384 46.24759855 23.41689295 31.17770569 38.87850379 54.71583051 79.06249047 58.49874979 40.02716232 22.35370658 18.65492547 22.38613763 10.81165178 3.307868424 27.91297599 26.30683717 29.20431253 68.57313754 49.5490347 50.86373098 20.70485651 68.16830984 7.978292322 214.7985822 1508.346043
20093.05108 60 37 41 52 28 43 50 47 56 63 18 34 41 23 24 25 37 55 26 30 37 27 24 14 3 41 27 66 51 33 41 11 78 6 134 1448 39.39836179 30.56633931 75.68515262 35.72426748 57.23749381 85.69420741 66.96538248 113.4346895 89.41181763 8.196804766 31.11709573 41.73098342 27.89945262 33.33749017 47.877661 48.34961579 72.14301608 40.89839389 39.03778237 55.47463687 17.95020564 23.81024477 14.23412617 4.419141565 33.63021577 23.46074581 22.29467703 50.96570437 57.7432306 56.5679258 14.94590566 51.41086138 6.348204101 269.3214326 1524.176689
20736.38783 58 37 44 60 29 46 57 56 60 77 21 36 42 21 23 25 43 56 26 31 39 28 24 13 3 41 25 62 53 34 37 11 69 6 130 1584 61.07709655 66.27335558 124.0895188 35.28101777 44.9628307 122.5696474 66.9653831 68.43468903 46.19562929 5.368349352 23.86045635 47.34435445 29.1556298 32.55571446 44.11870118 40.22088926 54.10048293 48.40299196 60.4142129 35.14471105 29.31460538 35.03739985 14.23519864 4.419141565 38.60256358 38.79540539 37.76732432 51.9957487 50.20694453 72.51998924 16.61620375 54.68555193 6.366048125 338.130225 1587.028251
21636.29087 58 42 45 55 28 48 61 55 64 80 19 33 41 21 22 24 42 66 32 54 44 29 25 13 3 42 26 106 61 40 41 13 79 6 103 1714 49.81956733 52.19383906 104.3714428 35.3321038 59.20307357 60.18856536 65.46876014 77.69565582 156.7873115 3.956336039 17.58454617 59.11527104 28.08325896 30.47934584 52.77075896 80.02856222 69.24500512 66.58085177 81.46950316 25.09341398 20.97850784 31.12335198 16.26045923 5.535335094 41.64144835 35.10305404 148.6958868 65.52985604 68.13795206 41.7717333 19.7139672 130.2290179 7.10636233 227.2967888 1871.472104
23372.67837 64 42 60 87 32 68 81 57 51 111 20 34 41 22 23 29 65 78 37 39 54 32 26 14 3 47 47 126 64 38 48 13 82 7 116 2021 88.25454481 62.3893562 116.8789853 50.64856606 114.3375047 103.8219499 54.57070896 54.97032017 184.8874313 13.22765469 19.6261477 66.725681 61.33194517 48.99420657 64.51350481 131.1941272 119.6588379 82.66144374 40.18080009 64.12104189 34.35794958 27.94445967 16.66233921 6.390740583 50.95414615 82.15854841 39.05380648 81.7873179 53.74205473 66.47976225 35.69980636 200.4884852 14.47018718 333.4084775 2362.263323
24393.58847 76 65 79 115 57 178 85 64 61 140 22 33 42 23 23 27 88 89 48 61 89 52 25 14 3 94 183 99 114 41 47 18 171 10 142 2047 100.8367695 231.8884148 170.161577 53.9066969 263.2086552 53.95117211 78.25575324 106.6757503 442.5835598 10.0649405 30.78462167 49.59343197 86.23764329 39.23708664 35.67721357 49.10495896 74.46055154 128.2069741 170.5528474 111.7664628 71.5936936 94.96622889 49.33967341 15.09567099 112.3079737 173.9280781 47.00285057 115.8692286 68.82821813 70.38217268 36.51087242 209.3514055 19.89249797 264.9942118 3490.689098
25674.34605 73 56 102 117 48 135 92 72 100 217 22 36 43 23 24 28 128 81 47 92 105 42 26 15 4 238 112 93 91 43 55 25 230 8 143 1945 46.80499784 49.90548017 55.21025048 61.97209018 151.2915615 94.51571584 93.08719563 164.3958689 336.2738361 8.33012166 26.71305919 47.01361796 41.90325227 34.94030095 55.78815546 75.73684026 145.7889277 105.0111654 114.288529 144.8275588 34.73914345 36.16472413 33.44495916 18.23515242 157.8537794 111.429421 151.9247122 61.71721516 56.17034321 46.35615761 35.32787554 314.719489 7.608866016 696.2521315 2988.015978
26222.71669 79 48 75 156 41 117 96 72 96 204 20 31 40 24 25 28 74 87 46 57 72 41 26 17 5 168 83 193 71 46 52 39 251 10 157 1989 91.4370405 106.0421432 154.3974828 102.2133827 236.4153366 121.3090351 56.97152072 156.720209 256.2532168 13.22765469 22.95450547 65.80369407 36.7861928 51.99191335 38.81029102 95.66305045 125.5789872 97.96850528 97.73005228 26.58632104 23.99991069 30.5749536 17.69559276 6.532757264 139.6868593 131.9301824 44.15015343 81.8330592 55.87351948 204.6687695 61.91647542 215.0748493 27.38495129 429.8847986 3089.223213
27913.22161 77 47 54 78 44 126 102 92 76 205 21 32 44 25 23 25 79 80 39 65 116 37 27 14 3 112 65 181 69 41 52 39 273 9 202 2121 45.53323032 46.91756261 90.01588735 76.45233502 167.4785896 161.0420838 117.7153851 115.9220742 413.8535136 18.61709626 26.82872694 70.07845903 49.77449051 31.17770569 50.35308825 144.4049733 150.9751807 87.77257951 221.9286607 52.828794 37.08653441 45.32598001 20.69286578 6.331065414 154.6190165 134.5101252 31.5796762 57.40343411 64.18226163 48.92235207 42.6616255 287.9757018 12.92019684 557.2101315 3176.041703
