data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;25,3;31,2;;;24,0;20,1;14,9;10,9;10,7;11,6;10,8;11,7;10,5;11,1;14,7;14,2;12,4;12,5;12,2;14,7;13,9;15,8;18,2;20,7
2019-02-02;42035.91666666667;6;20,9;27,6;;;26,0;21,7;20,3;16,4;15,8;13,4;12,3;10,8;12,6;10,8;12,5;12,6;12,9;12,7;14,6;14,4;13,9;16,0;16,2;21,8
2019-02-03;42036.91666666667;0;24,8;27,2;;;25,6;24,3;21,7;21,2;20,5;17,3;15,4;15,5;14,0;13,8;16,7;16,4;18,1;17,0;15,8;15,0;17,9;17,8;19,7;23,6
2019-02-04;42037.91666666667;1;23,4;29,2;;;24,3;18,8;12,6;11,5;12,2;11,5;12,8;13,2;12,1;9,7;13,0;12,0;12,4;13,7;13,5;15,8;16,6;19,3;20,0;24,7
2019-02-05;42038.91666666667;2;24,1;30,8;;;26,7;20,6;13,0;10,2;11,4;11,1;11,3;12,2;11,5;10,9;9,9;11,2;14,1;13,4;13,3;14,5;16,8;17,8;19,0;23,7
2019-02-06;42039.91666666667;3;26,9;28,2;;;25,6;20,7;12,9;9,9;10,5;10,7;9,7;8,5;9,7;9,3;11,2;12,2;11,5;13,1;13,1;15,9;14,5;18,7;20,1;21,6
2019-02-07;42040.91666666667;4;26,1;30,2;;;25,1;20,0;13,6;10,3;10,7;13,0;13,7;13,2;13,4;12,4;14,0;14,1;13,4;14,0;12,7;15,2;17,2;16,6;20,3;22,1
2019-02-08;42041.91666666667;5;25,1;28,1;;;24,2;20,1;13,6;10,3;11,4;12,3;13,0;12,9;11,3;11,4;14,1;14,5;12,8;12,5;12,6;13,7;15,2;15,8;18,0;22,5
2019-02-09;42042.91666666667;6;23,6;28,7;;;28,2;22,9;20,3;18,0;16,3;14,5;13,9;13,1;11,6;12,3;14,1;14,2;14,1;14,8;13,4;15,8;15,5;19,3;18,2;23,0
2019-02-10;42043.91666666667;0;24,5;26,8;;;25,1;22,3;22,6;19,7;19,4;16,7;15,7;15,8;15,0;16,0;17,0;18,2;17,8;17,5;18,0;17,2;17,4;18,6;19,9;22,6
2019-02-11;42044.91666666667;1;25,7;31,0;;;23,9;19,9;11,9;9,7;10,3;12,6;13,7;16,1;12,8;13,3;14,6;14,1;14,5;13,3;13,2;14,7;17,5;18,3;20,6;22,8
2019-02-12;42045.91666666667;2;26,6;29,1;;;24,2;20,3;12,7;10,7;10,3;13,0;13,8;15,0;11,4;12,4;14,3;13,2;13,7;12,3;12,1;12,9;15,9;18,2;19,9;20,2
2019-02-13;42046.91666666667;3;24,8;32,5;;;25,9;20,5;12,5;7,7;9,4;12,8;13,7;14,1;13,1;11,6;13,3;14,0;12,7;12,0;11,7;15,4;15,9;20,3;19,6;22,2
2019-02-14;42047.91666666667;4;24,1;30,5;;;23,8;19,9;12,4;11,3;10,9;12,3;12,3;13,4;12,4;13,1;14,4;14,2;13,7;13,6;13,5;14,3;15,9;17,8;18,6;22,4
2019-02-15;42048.91666666667;5;25,6;27,2;;;26,1;20,8;12,8;9,4;10,3;12,6;12,6;13,8;13,4;11,7;12,5;12,9;12,0;11,5;13,0;13,1;14,8;13,2;17,6;20,5
2019-02-16;42049.91666666667;6;23,2;27,6;;;26,4;21,1;18,6;16,8;14,6;12,6;13,3;12,1;12,2;12,8;13,7;14,5;14,2;13,0;14,5;11,5;14,4;18,4;19,2;23,7
2019-02-17;42050.91666666667;0;26,6;;;;27,7;23,6;22,7;20,2;19,7;17,3;17,5;16,0;14,6;15,5;17,8;17,2;19,2;17,9;18,1;17,1;18,5;19,5;21,1;23,4
2019-02-18;42051.875;1;25,8;28,8;;;26,8;21,1;12,2;9,7;11,6;13,5;12,6;15,0;14,2;13,2;13,7;14,4;13,7;13,1;13,2;15,1;15,5;19,1;20,8;24,2
2019-02-19;42052.875;2;26,3;30,3;;;26,3;20,6;11,7;10,0;10,9;13,0;13,0;14,6;14,4;13,1;14,0;13,9;13,5;12,0;12,5;13,9;17,1;19,7;18,9;22,9
2019-02-20;42053.875;3;24,5;28,9;;;25,8;20,1;12,1;10,5;11,1;13,0;13,1;14,8;13,2;13,2;14,0;14,0;12,9;12,9;12,4;13,2;15,2;17,9;19,1;22,7
