data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;23,9;;;;23,4;20,5;14,6;10,9;10,6;11,7;10,7;12,0;10,7;11,2;14,6;14,4;12,7;12,7;12,3;14,7;13,9;15,9;18,4;20,5
2019-02-02;42035.91666666667;6;20,3;;;;24,6;21,3;20,2;16,1;16,1;13,1;12,2;11,1;12,6;11,3;12,5;12,7;12,8;13,3;14,9;14,8;13,9;15,5;16,2;21,8
2019-02-03;42036.91666666667;0;23,8;27,7;;;25,6;23,6;21,6;21,4;20,6;16,9;15,5;15,3;13,9;13,8;16,9;16,2;16,8;16,5;15,5;15,0;17,3;17,5;19,3;23,3
2019-02-04;42037.91666666667;1;22,8;;;;24,4;18,6;12,2;11,2;11,9;11,0;12,6;13,4;12,1;10,0;12,9;12,3;12,5;13,8;13,3;15,5;16,6;19,1;19,8;24,8
2019-02-05;42038.91666666667;2;23,4;;;;26,8;20,7;13,1;10,0;10,5;10,9;11,2;12,0;11,9;11,0;10,2;11,3;14,1;13,3;13,0;14,6;17,2;18,0;18,3;23,2
2019-02-06;42039.91666666667;3;26,6;;;;24,9;20,6;12,5;9,4;9,9;10,3;9,9;8,0;9,5;9,3;11,4;12,6;11,3;13,4;13,0;16,2;14,7;18,5;20,2;21,2
2019-02-07;42040.91666666667;4;25,4;;;;24,5;19,5;12,8;9,4;9,5;12,7;13,6;12,8;13,1;12,0;13,9;14,2;12,9;14,2;12,7;15,1;17,2;16,4;19,6;22,2
2019-02-08;42041.91666666667;5;24,0;;;;23,1;19,8;13,0;9,7;10,6;12,0;13,0;12,8;10,7;11,4;14,3;14,4;13,0;12,4;11,7;13,8;15,5;15,9;18,4;22,1
2019-02-09;42042.91666666667;6;22,9;;;;26,6;22,4;20,1;16,2;15,9;14,6;13,3;12,8;11,6;12,0;13,5;14,1;14,1;14,5;13,4;16,0;15,4;19,5;18,3;23,2
2019-02-10;42043.91666666667;0;24,3;26,9;;;25,1;22,6;21,7;19,7;19,1;16,8;15,6;15,8;14,9;16,0;17,2;18,1;17,7;16,8;17,8;17,3;17,4;18,3;20,1;22,1
