DiaSemana;Feriado;horaiox;Posx2;Mapsx2;MapsPessx2
7;0;270;81,27959836;47;52
7;0;300;88,48227442;54;54
7;0;316;71,11105628;63;60
7;0;337;79,19543143;58;71
7;0;347;60,4545705;63;71
7;0;361;72,25404885;67;83
7;0;375;76,20312532;72;88
7;0;392;85,3435989;72;98
7;0;403;94,76097829;69;102
7;0;419;110,437788;71;112
7;0;437;83,3580591;81;108
7;0;452;82,8829699;82;109
7;0;466;123,5247531;82;109
7;0;486;96,15020519;82;113
7;0;509;98,8074573;84;120
7;0;530;73,41561655;73;125
7;0;548;69,28034427;76;130
7;0;573;85,57482187;81;118
7;0;594;99,2868131;101;116
7;0;610;80,77004508;100;131
7;0;630;63,04091297;91;119
7;0;650;87,14111543;118;134
7;0;673;165,0736702;110;142
7;0;690;59,11124332;89;129
7;0;710;81,28237445;84;133
7;0;730;67,28083477;97;129
7;0;755;80,51921411;122;119
7;0;762;130,8640156;105;122
7;0;793;535,2337633;117;131
7;0;835;245,871287;89;118
7;0;865;66,13646045;85;118
7;0;873;145,0155947;86;118
7;0;890;118,1436284;83;126
7;0;913;104,9118015;88;145
7;0;931;87,20091444;84;147
7;0;964;80,82329049;82;140
7;0;978;95,86173298;92;158
7;0;996;76,66270151;102;151
7;0;1011;184,937284;104;147
7;0;1026;150,2863372;118;140
7;0;1044;118,0441596;112;146
7;0;1086;198,8455764;95;134
7;0;1111;107,2416388;82;129
7;0;1130;69,7807112;91;116
7;0;1159;97,48649157;82;117
7;0;1174;144,9364347;79;120
7;0;1197;46,15009103;83;119
7;0;1220;102,2429283;86;122
7;0;1254;141,5154157;84;109
7;0;1273;70,29031289;71;116
7;0;1305;70,29031352;72;104
7;0;1333;86,28998974;70;90
7;0;1378;128,4120386;66;82
7;0;1398;93,11358416;68;89
7;0;1430;93,65308473;62;81
2;0;270;82,30827916;54;59
2;0;302;77,24584497;51;56
2;0;327;46,91640653;54;64
2;0;341;61,84204223;56;70
2;0;357;65,68821869;55;68
2;0;377;85,35366536;58;86
2;0;389;54,17616146;61;82
