data;data (Excel);dia (0 = domingo);0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
2019-02-01;42034.91666666667;5;22,1;31,7;33,1;43,6;23,0;18,7;10,2;7,8;8,5;7,6;4,4;3,8;3,3;4,7;8,7;7,2;6,4;6,4;9,5;12,0;4,8;7,5;7,7;15,9
2019-02-02;42035.91666666667;6;17,3;23,2;33,6;30,8;20,9;19,9;14,5;11,5;9,3;7,3;4,8;3,3;4,4;3,3;3,9;3,1;3,9;5,4;5,0;4,9;4,7;6,2;9,6;14,3
2019-02-03;42036.91666666667;0;19,5;19,7;24,6;21,1;23,9;23,3;18,5;17,4;14,0;9,2;7,4;6,0;7,2;7,8;9,5;7,8;8,8;7,9;5,4;4,9;10,2;8,3;14,6;20,9
2019-02-04;42037.91666666667;1;20,9;27,5;41,1;33,1;22,8;17,1;7,5;5,9;13,5;6,5;5,4;5,5;4,3;2,7;4,6;4,1;5,1;10,3;10,7;13,2;10,9;14,7;13,8;20,1
2019-02-05;42038.91666666667;2;21,5;25,7;37,5;35,7;23,1;17,6;8,9;8,1;11,8;5,9;4,8;5,8;4,0;3,5;2,7;3,5;7,6;11,0;10,7;8,7;9,3;10,6;15,8;21,3
2019-02-06;42039.91666666667;3;22,0;28,1;39,1;32,5;26,0;17,5;8,0;8,2;10,5;5,2;4,1;4,8;3,0;2,4;3,6;4,8;3,6;9,3;10,9;11,3;5,7;12,2;16,9;18,8
2019-02-07;42040.91666666667;4;20,3;30,7;40,7;33,1;25,0;18,2;8,5;9,9;12,1;12,4;10,3;10,1;9,6;9,1;10,8;10,7;9,7;10,8;10,4;11,2;13,5;15,6;17,2;18,2
2019-02-08;42041.91666666667;5;19,9;26,6;35,3;35,1;25,5;19,2;10,0;9,0;11,9;10,7;10,9;10,0;9,1;8,1;10,1;8,7;9,5;7,6;9,9;9,6;11,4;14,9;13,5;19,7
2019-02-09;42042.91666666667;6;18,8;30,0;23,3;36,3;25,0;19,8;17,4;14,5;12,5;11,7;8,9;8,9;9,5;6,9;9,3;10,4;9,2;9,3;8,3;12,1;11,3;14,6;14,2;16,6
2019-02-10;42043.91666666667;0;21,5;26,7;22,7;29,8;24,7;22,9;19,4;18,1;14,6;13,9;11,7;11,4;12,3;11,9;14,4;14,7;15,4;14,9;14,2;12,4;11,5;13,0;15,3;16,2
2019-02-11;42044.91666666667;1;21,4;36,1;41,2;43,5;25,1;19,2;7,9;7,3;12,8;10,8;11,0;11,5;9,7;10,9;11,4;8,6;10,7;11,7;9,1;11,0;14,0;18,4;18,4;18,3
2019-02-12;42045.91666666667;2;22,3;29,8;35,7;38,5;25,1;19,1;8,4;6,7;13,2;12,2;12,4;11,7;10,9;9,4;12,0;7,9;12,1;9,3;8,7;7,6;14,4;13,9;16,9;18,6
2019-02-13;42046.91666666667;3;20,7;33,0;35,0;34,3;23,6;18,3;6,0;3,2;4,5;12,0;11,9;10,5;10,7;9,2;11,3;12,1;11,1;9,8;10,2;10,2;15,2;15,9;15,6;18,4
2019-02-14;42047.91666666667;4;18,6;33,0;33,6;35,7;24,4;17,3;8,9;9,8;11,2;12,1;11,6;9,8;10,1;11,4;9,7;10,5;11,0;11,5;10,6;11,5;13,6;10,4;11,3;17,8
2019-02-15;42048.91666666667;5;25,1;23,4;36,5;41,1;23,6;18,9;6,5;5,2;13,2;11,2;8,7;9,1;9,1;10,1;9,8;8,0;9,2;7,2;11,8;11,0;12,2;15,4;14,4;17,7
2019-02-16;42049.91666666667;6;19,6;31,3;36,6;28,6;25,3;19,7;16,3;16,0;12,6;13,4;9,6;8,9;8,5;8,0;8,4;9,5;10,1;10,3;11,3;10,7;11,9;11,5;14,9;17,5
2019-02-17;42050.91666666667;0;22,7;26,7;26,4;24,9;24,2;22,5;18,3;15,6;13,6;10,2;12,1;11,3;9,7;13,3;12,0;12,9;15,4;13,3;14,1;13,7;14,4;14,3;20,6;18,8
2019-02-18;42051.875;1;24,3;26,9;24,5;41,5;22,6;17,1;8,1;7,3;10,9;11,5;11,6;11,7;9,8;10,9;10,9;11,6;11,4;9,6;10,6;13,1;13,3;15,5;18,1;18,3
2019-02-19;42052.875;2;24,2;29,7;35,3;40,5;26,2;18,6;10,3;9,1;13,1;12,3;11,0;9,7;11,4;10,9;11,6;9,8;10,5;6,8;9,8;9,9;11,6;14,9;17,3;16,3
2019-02-20;42053.875;3;19,1;33,4;43,3;31,4;23,0;16,9;9,4;10,4;11,1;11,4;12,4;11,1;11,6;9,9;10,4;11,4;10,1;9,5;8,1;7,1;12,2;15,5;16,9;18,5
2019-02-21;42054.875;4;27,6;26,6;42,7;36,8;22,4;17,6;10,8;10,9;13,3;12,3;11,3;11,2;10,4;10,1;10,6;12,1;11,8;10,7;10,6;9,3;12,0;15,1;17,6;19,7
2019-02-22;42055.875;5;27,9;27,9;34,3;37,5;22,3;15,6;11,5;10,0;12,0;12,0;9,3;10,7;7,5;10,2;9,5;11,3;9,9;7,8;9,4;9,7;11,5;15,2;15,6;14,8
2019-02-23;42056.875;6;21,0;26,3;39,3;32,2;27,0;16,8;15,9;14,9;13,6;10,2;9,5;8,7;10,1;8,2;7,8;11,2;10,3;13,3;11,5;12,5;15,5;16,7;14,8;22,3
2019-02-24;42057.875;0;17,4;25,4;25,0;20,9;26,3;20,8;20,4;16,6;14,0;11,4;11,9;9,3;10,6;12,2;14,8;16,7;12,6;12,6;16,0;10,4;13,1;13,3;15,3;17,9
2019-02-25;42058.875;1;22,6;31,7;33,2;37,3;23,8;15,7;11,7;10,1;12,8;10,5;10,7;11,3;11,3;9,3;11,2;12,2;9,5;6,3;8,9;10,3;12,1;14,3;16,3;17,6
2019-02-26;42059.875;2;26,5;26,2;37,7;38,5;21,8;17,6;10,5;8,4;10,7;12,9;12,6;11,9;10,2;10,0;10,9;10,9;11,3;9,6;10,5;12,3;15,4;15,9;18,0;19,4
2019-02-27;42060.875;3;27,4;26,5;34,1;38,5;22,7;16,5;8,9;10,2;10,6;10,0;10,7;10,0;10,7;8,2;9,9;11,8;8,5;9,3;1,8;2,5;5,0;9,4;7,7;16,6
